spring,evening,manhattan,west street,driver inattention/distraction,passenger vehicle,fair
spring,morning,manhattan,john street,lost consciousness,passenger vehicle,good
spring,latenight,manhattan,chambers street,prescription medication,passenger vehicle,good
spring,morning,manhattan,west street,pavement slippery,passenger vehicle,good
spring,evening,manhattan,broadway,lost consciousness,passenger vehicle,good
spring,morning,manhattan,grand street,backing unsafely,passenger vehicle,good
spring,evening,manhattan,chambers street,illness,passenger vehicle,good
spring,evening,manhattan,unknown,driver inexperience,small com veh(4 tires),good
spring,evening,manhattan,watts street,turning improperly,passenger vehicle,good
spring,latenight,manhattan,walker street,driver inattention/distraction,passenger vehicle,good
spring,morning,manhattan,unknown,turning improperly,passenger vehicle,poor
spring,morning,manhattan,hubert street,lost consciousness,passenger vehicle,good
spring,latenight,manhattan,varick street,driver inexperience,passenger vehicle,good
spring,evening,manhattan,unknown,driver inattention/distraction,passenger vehicle,fair
spring,evening,manhattan,unknown,driver inattention/distraction,passenger vehicle,fair
spring,evening,manhattan,varick street,driver inattention/distraction,passenger vehicle,good
spring,latenight,manhattan,unknown,other vehicular,passenger vehicle,good
spring,evening,manhattan,unknown,driver inattention/distraction,passenger vehicle,good
spring,latenight,manhattan,avenue of the americas,traffic control disregarded,passenger vehicle,good
spring,latenight,manhattan,unknown,driver inattention/distraction,passenger vehicle,fair
spring,morning,manhattan,west street,turning improperly,passenger vehicle,good
spring,evening,manhattan,broadway,backing unsafely,passenger vehicle,fair
spring,morning,manhattan,broadway,turning improperly,passenger vehicle,good
spring,morning,manhattan,hudson street,driver inattention/distraction,passenger vehicle,good
spring,evening,manhattan,west broadway,lost consciousness,passenger vehicle,good
spring,latenight,manhattan,unknown,driver inattention/distraction,passenger vehicle,fair
spring,evening,manhattan,canal street,driver inexperience,passenger vehicle,good
spring,evening,manhattan,hudson street,outside car distraction,passenger vehicle,good
spring,morning,manhattan,broadway,fatigued/drowsy,passenger vehicle,good
spring,latenight,manhattan,unknown,prescription medication,passenger vehicle,good
spring,evening,manhattan,broadway,driver inattention/distraction,passenger vehicle,good
winter,latenight,manhattan,spring street,driver inattention/distraction,passenger vehicle,good
fall,evening,brooklyn,east 31 street,driver inattention/distraction,passenger vehicle,good
fall,evening,brooklyn,avenue d,driver inattention/distraction,passenger vehicle,good
fall,evening,brooklyn,albany avenue,reaction to other uninvolved vehicle,passenger vehicle,good
fall,evening,brooklyn,winthrop street,lost consciousness,passenger vehicle,good
winter,morning,manhattan,columbia street,driver inattention/distraction,passenger vehicle,good
fall,evening,brooklyn,farragut road,driver inattention/distraction,passenger vehicle,good
winter,afternoon,manhattan,delancey street,failure to yield right-of-way,pick-up truck,good
winter,evening,brooklyn,nostrand avenue,driver inattention/distraction,sport utility / station wagon,good
winter,afternoon,brooklyn,winthrop street,driver inexperience,passenger vehicle,good
winter,evening,manhattan,allen street,pavement slippery,van,fair
winter,evening,brooklyn,kings highway,turning improperly,passenger vehicle,good
winter,evening,brooklyn,glenwood road,lost consciousness,passenger vehicle,good
winter,evening,manhattan,delancey street,lost consciousness,sport utility / station wagon,fair
winter,evening,brooklyn,utica avenue,driver inattention/distraction,sport utility / station wagon,good
winter,afternoon,brooklyn,beverly road,failure to yield right-of-way,passenger vehicle,good
winter,afternoon,brooklyn,east 98 street,aggressive driving/road rage,passenger vehicle,good
winter,evening,brooklyn,ralph avenue,prescription medication,passenger vehicle,good
winter,afternoon,brooklyn,new york avenue,failure to yield right-of-way,passenger vehicle,good
winter,evening,brooklyn,church avenue,outside car distraction,passenger vehicle,good
winter,evening,brooklyn,brooklyn avenue,failure to yield right-of-way,passenger vehicle,good
winter,evening,manhattan,suffolk street,driver inattention/distraction,passenger vehicle,fair
winter,evening,brooklyn,clarkson avenue,other vehicular,passenger vehicle,good
winter,evening,brooklyn,nostrand avenue,driver inattention/distraction,sport utility / station wagon,good
winter,latenight,manhattan,delancey street,driver inattention/distraction,taxi,good
winter,evening,manhattan,delancey street,prescription medication,passenger vehicle,fair
