spring,morning,brooklyn,bay ridge parkway,traffic control device improper/non-working,sport utility / station wagon,fair
spring,morning,brooklyn,bay ridge avenue,physical disability,sport utility / station wagon,good
spring,morning,brooklyn,80 street,fell asleep,sport utility / station wagon,good
spring,morning,brooklyn,fort hamilton parkway,lost consciousness,sport utility / station wagon,good
spring,evening,brooklyn,3 avenue,backing unsafely,sport utility / station wagon,good
summer,afternoon,brooklyn,4 avenue,other vehicular,sport utility / station wagon,good
summer,morning,brooklyn,68 street,other vehicular,sport utility / station wagon,good
fall,evening,brooklyn,5 avenue,failure to yield right-of-way,sport utility / station wagon,good
fall,morning,brooklyn,13 avenue,fell asleep,sport utility / station wagon,good
fall,morning,brooklyn,86 street,lost consciousness,sport utility / station wagon,fair
fall,latenight,brooklyn,65 street,pavement slippery,sport utility / station wagon,good
fall,latenight,brooklyn,74 street,driver inexperience,sport utility / station wagon,good
winter,afternoon,brooklyn,13 avenue,lost consciousness,sport utility / station wagon,good
winter,morning,brooklyn,bay ridge parkway,unsafe speed,sport utility / station wagon,good
fall,morning,manhattan,chrystie street,view obstructed/limited,bus,fair
spring,morning,brooklyn,65 street,lost consciousness,sport utility / station wagon,good
fall,afternoon,manhattan,east 7 street,other vehicular,passenger vehicle,good
fall,evening,brooklyn,east 83 street,driver inexperience,ambulance,good
winter,morning,brooklyn,east 94 street,backing unsafely,sport utility / station wagon,fair
winter,afternoon,brooklyn,flatlands avenue,other vehicular,sport utility / station wagon,good
spring,morning,brooklyn,east 92 street,outside car distraction,sport utility / station wagon,good
spring,morning,brooklyn,remsen avenue,failure to yield right-of-way,sport utility / station wagon,fair
spring,morning,brooklyn,east 80 street,failure to yield right-of-way,sport utility / station wagon,good
fall,latenight,brooklyn,east 102 street,other vehicular,passenger vehicle,good
fall,morning,brooklyn,flatlands avenue,oversized vehicle,large com veh(6 or more tires),good
fall,afternoon,brooklyn,east 80 street,backing unsafely,sport utility / station wagon,good
fall,morning,brooklyn,flatlands avenue,traffic control disregarded,van,good
fall,morning,brooklyn,east 103 street,driver inattention/distraction,sport utility / station wagon,good
winter,morning,brooklyn,rockaway parkway,failure to yield right-of-way,sport utility / station wagon,fair
fall,morning,manhattan,10 avenue,view obstructed/limited,sport utility / station wagon,good
fall,morning,manhattan,broadway,prescription medication,pick-up truck,fair
fall,evening,manhattan,fort george hill,passenger distraction,sport utility / station wagon,good
